FEATURE AREA,FEATURE AREA COVERAGE
Commissioning-BTS Settings (except toggle fault),50.67%
Commissioning-Local Cell Group,35.61%
Commissioning-LTE Carrier,30.60%
Commissioning-Local Cell Resource,26.60%
Commissioning-Local Cell Settings,0.00%
"Commissioning EAC (System Module External Fault and Control Settings), EAC for FHS, EAC in XLF XLC",31.43%
Commissioning-Site Testing,20.30%
Commissioning-Module Settings,43.75%
Commissioning-Configuration Change Notifications (CCNs),69.57%
Commissioning-ALD area,44.47%
Commissioning-BTS Synchronization Settings,53.68%
Commissioning-LTE Commissioning Radio Network Configuration (PDDB)/Commissioning-RNW,39.28%
Commissioning-Concurrent Mode Settings,24.54%
Commissioning-Additional Site Settings,39.68%






FEATURE AREA,FEATURE AREA COVERAGE,CLASS,CLASS COVERAGE,LINE_MISSED,LINE_COVERED,METHOD_MISSED,METHOD_COVERED
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.TDLTECarrierModel,0.00%,382,0,53,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.TDLTECarrierModel$1,0.00%,2,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.TDLTECarrierModel$CarrierPairs,0.00%,26,0,10,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.controller.TDLTECarriersSettingsController,0.00%,9,0,2,0
,,com.hahaqu.em.bts.gui.lte.commissioning.controller.LTECarriersSettingsController,85.71%,2,12,1,3
Commissioning-Local Cell Resource,26.60%,com.hahaqu.em.bts.gui.lte.commissioning.model.LTELCRModel$LTEAntennaParametersHolder,50.00%,3,3,2,1
,,com.hahaqu.em.bts.gui.lte.commissioning.model.LTELCRModel,40.28%,645,435,122,98
,,com.hahaqu.em.bts.gui.lte.commissioning.model.LTELCRModel$LTECellParametersHolder,59.34%,37,54,19,18
,,com.hahaqu.em.bts.gui.lte.commissioning.model.SubCellCarrierPowerTableModel,13.58%,70,11,15,4
,,com.hahaqu.em.bts.common.hwmodel.scfupdate.CellModelRelation,100.00%,0,32,0,3
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.scfprocessor.TDLTELCRModelSCFProcessor,0.00%,130,0,14,0
,,com.hahaqu.em.bts.gui.lnf.commissioning.model.LNFLCRModel,0.00%,12,0,7,0
,,com.hahaqu.em.bts.common.antenna.AntennaWizardCellView,0.00%,252,0,21,0
,,com.hahaqu.em.bts.common.antenna.AntennaWizardCellView$2,0.00%,10,0,2,0
,,com.hahaqu.em.bts.common.antenna.AntennaWizardCellView$1,0.00%,2,0,2,0
,,com.hahaqu.em.bts.common.antenna.AntennaWizardCellView$3,0.00%,6,0,2,0
,,com.hahaqu.em.bts.common.antenna.AntennaWizardCellView$EditFocusHandler,0.00%,5,0,2,0
,,com.hahaqu.em.bts.common.antenna.AntennaWizardCellController,0.00%,177,0,24,0
,,com.hahaqu.em.bts.common.antenna.ret.ErrCodeTableCellRenderer,0.00%,9,0,2,0
,,com.hahaqu.em.bts.common.antenna.ret.TiltTableCellRenderer,0.00%,10,0,2,0
,,com.hahaqu.em.bts.common.antenna.ret.AngleTableCellRenderer,0.00%,47,0,6,0
,,com.hahaqu.em.bts.gui.lte.component.siteinfo.model.helper.LTELCRHelper,0.00%,144,0,29,0
,,com.hahaqu.em.bts.gui.lte.component.siteinfo.model.helper.TDLTELCRHelper,0.00%,9,0,4,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.TLActFlexScellSelectRuleValidatorExtension,0.00%,83,0,15,0
,,com.hahaqu.em.bts.common.util.ui.TableCellComboBox$ComboMouseListener,0.00%,14,0,3,0
,,com.hahaqu.em.bts.common.util.ui.NlafTableCellRenderer$BoxRenderer,0.00%,6,0,1,0
,,com.hahaqu.em.bts.common.util.ui.TableCellComboBox$ComboFocusListener,0.00%,5,0,2,0
,,com.hahaqu.em.bts.common.util.ui.NlafTableCellRenderer,0.00%,27,0,4,0
,,com.hahaqu.em.bts.common.util.ui.ListTableCellRenderer,86.96%,3,20,2,3
,,com.hahaqu.em.bts.common.util.ui.TableCellComboBox,0.00%,27,0,5,0
,,com.hahaqu.em.bts.common.util.ui.StateIconListCellRenderer,94.74%,1,18,0,4
,,com.hahaqu.em.bts.gui.lnf.commissioning.model.validator.FLFActFlexScellSelectRuleValidatorExtension,0.00%,6,0,3,0
,,com.hahaqu.em.bts.common.component.module.ModuleCell$1,0.00%,1,0,1,0
,,com.hahaqu.em.bts.common.component.module.ModuleCellUI,92.68%,3,38,0,10
,,com.hahaqu.em.bts.common.component.module.CellLedToolButton,92.31%,1,12,1,2
,,com.hahaqu.em.bts.common.component.module.ModuleCellGroupBorder,0.00%,41,0,6,0
,,com.hahaqu.em.bts.common.component.module.ModuleCellGroup$1,0.00%,36,0,6,0
,,com.hahaqu.em.bts.common.component.module.ModuleCell,16.07%,449,86,65,30
,,com.hahaqu.em.bts.common.component.module.ModuleCellGroup,1.88%,157,3,33,1
,,com.hahaqu.em.bts.common.component.module.EqCellBorder,75.41%,15,46,3,11
,,com.hahaqu.em.bts.common.component.module.ModuleCellGroupUI,0.00%,19,0,5,0
,,com.hahaqu.em.bts.common.component.module.ModuleCell$AlarmComparator,12.50%,7,1,1,1
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.initializer.TDLTELCRInitializer,0.00%,19,0,4,0
,,com.hahaqu.em.bts.gui.lte.component.siteinfo.model.LTELCRSiteInfoModel,0.00%,149,0,12,0
,,com.hahaqu.em.bts.gui.lte.component.siteinfo.model.LTELCRSiteInfoModel$2,0.00%,8,0,2,0
,,com.hahaqu.em.bts.gui.lte.component.siteinfo.model.LTELCRSiteInfoModel$1,0.00%,8,0,2,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.initializer.LTELCRInitializer,80.21%,19,77,0,14
,,com.hahaqu.em.bts.gui.lte.commissioning.scf.LTENWCellBean,57.64%,61,83,15,39
,,com.hahaqu.em.bts.gui.lte.commissioning.scf.IntfTraceCellFilterBean,0.00%,51,0,13,0
,,com.hahaqu.em.bts.common.antenna.vswr.IconCellRenderer,0.00%,27,0,2,0
,,com.hahaqu.em.bts.common.antenna.vswr.SpinnerCellRenderer,0.00%,11,0,2,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.FLActFlexScellSelectRuleValidatorExtension,0.00%,125,0,31,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.ActFlexScellSelectRuleValidatorExtension,0.00%,156,0,25,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.ActFlexScellSelectRuleValidatorExtension$1,0.00%,2,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.util.CellPositionInTable,0.00%,6,0,3,0
,,com.hahaqu.em.bts.common.test.rxtxmonitoring.view.currentvalues.TimestampCellRenderer,0.00%,25,0,2,0
,,com.hahaqu.em.bts.common.test.rxtxmonitoring.view.currentvalues.CurrentMinMaxCellRenderer,0.00%,9,0,2,0
,,com.hahaqu.em.bts.gui.lte.hwmodel.SubCellSpinnerDoubleModel,0.00%,59,0,10,0
,,com.hahaqu.em.bts.gui.lte.hwmodel.LTECellModel$1,0.00%,4,0,2,0
,,com.hahaqu.em.bts.gui.lte.hwmodel.LTECellModel$2,100.00%,0,1,0,1
,,com.hahaqu.em.bts.gui.lte.hwmodel.LTECellModel,38.10%,650,400,107,109
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.current.TDLTELCRModelValidator,0.00%,194,0,28,0
,,com.hahaqu.em.bts.gui.lnz.commissioning.model.validator.current.LNZLCRModelValidator,0.00%,134,0,12,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.LTRACEloggedCellConfValidator,61.90%,16,26,12,6
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.MFIREPRuCellChannelSListValidator,3.87%,149,6,14,2
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.ULCompCellListValidator,8.97%,132,13,5,3
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.MTRACEEnhCellVendorSpecTracingValidator,13.11%,53,8,14,5
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.LNBTSUlCoMPCellListNbiotModeValidator,21.74%,36,10,1,3
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.LNHBDcellIndOffValidator,26.09%,17,6,0,2
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.CellTechMandatoryMOValidator,34.00%,99,51,15,11
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.LCELLsmodDNValidator,60.87%,9,14,0,4
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.LNFLNCELActCombSuperCellValidator,3.49%,83,3,9,2
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.PSGRPSlbpsCellSOOrderAndlbpsLastCellSOEnabledValidator,9.70%,121,13,14,5
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.COMPCONFmeasBasedCellConfValidator,11.11%,56,7,12,2
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.LTRACECellIdValidator,50.00%,42,42,5,9
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.LNHENBcellIndOffValidator,31.58%,13,6,0,2
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.LNCELdlCellPwrRedValidator,26.09%,85,30,5,3
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.LNRELGNBCELLnrCellIdValidator,27.03%,27,10,5,4
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.LNCELactCombSuperCellValidator,23.33%,46,14,6,3
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.LNCELcellResourceGroupPrIdValidator,33.33%,32,16,2,3
